ancestor,descendant,fix_type
Bicosoecida_ott215707,Placididia_ott5603340,2
Opalinata_ott76206,Opalinea_ott5248726,2
Pseudocubus_ott29155,Plagoniinae_ott5654755,2
Pseudocubus_ott29155,Lophophaeninae_ott5654753,1
Spongospora_ott41887,Endemosarcidae_ott5584927,2
Bryometopus_ott360275,Tectohymenidae_ott2823887,0
Bryometopus_ott360275,Jaroschiidae_ott2823890,0
Bryometopus_ott360275,Trihymenidae_ott2823884,0
Plasmodium_ott474836,Leucocytozoidae_ott5655273,2
Kinetoplastea_ott192260,Metakinetoplastina_ott5251344,0
Kinetoplastea_ott192260,Prokinetoplastina_ott5251345,0
Trimastix_ott4739018,Pyrsonymphidae_ott7074,0
Trimastix_ott4739018,Streblomastigidae_ott637617,0
Trimastix_ott4739018,Polymastigidae_ott517073,0
Trimastix_ott4739018,Oxymonadidae_ott7073,0
Sauria_ott329823,Aves_ott81461,0
Sauria_ott329823,Lepidosauria_ott35881,0
Acanthomorphata_ott108720,Cichlomorphae_ott5554902,2
Acanthomorphata_ott108720,Atherinomorphae_ott976556,1
Cecidomyiidi_ott496622,Lestodiplosini_ott7283980,1
Cecidomyiidi_ott496622,Cecidomyiini_ott318540,1
Cecidomyiidi_ott496622,Clinodiplosini_ott1000532,1
Cecidomyiidi_ott496622,Mycodiplosini_ott855735,2
Cecidomyiidi_ott496622,Lopesiini_ott7283989,2
Asphondyliidi_ott323135,Asphondyliini_ott323134,1
Asphondyliidi_ott323135,Schizomyiini_ott7283751,1
Anopheles_subgenus_Anopheles_ott810239,Angusticorn_ott810238,1
Anopheles_subgenus_Anopheles_ott810239,Laticorn_ott918748,1
Anopheles_subgenus_Anopheles_ott810239,Lophoscelomyia_ott656509,1
Anopheles_subgenus_Anopheles_ott810239,Arribalzagia_ott918758,1
Anopheles_subgenus_Anopheles_ott810239,Christya_ott918759,1
Cellia_ott557466,Myzomyia_ott509649,0
Cellia_ott557466,Neocellia_ott557465,0
Cellia_ott557466,Neomyzomyia_ott557468,0
Dictyoptera_ott48286,Blattodea_ott920179,0
Dictyoptera_ott48286,Mantodea_ott656293,0
Anystina_ott87279,Hydracarina_ott69277,1