name,ott_id
Acanthochelys macrocephala,19159
Acanthochelys pallidipectoris,565695
Acanthochelys radiolata,682380
Acanthochelys spixii,477943
Aldabrachelys gigantea,93887
Amyda cartilaginea,33418
Amyda ornata,5827921
Apalone ferox,378502
Apalone mutica,598956
Apalone spinifera,149798
Astrochelys radiata,859767
Astrochelys yniphora,940487
Batagur affinis,154908
Batagur baska,361285
Batagur borneoensis,340373
Batagur dhongoka,340369
Batagur kachuga,859923
Batagur trivittata,7583
Caretta caretta,392505
Carettochelys insculpta,810244
Centrochelys sulcata,1050325
Chelodina burrungandjii,5548768
Chelodina canni,7068942
Chelodina expansa,642964
Chelodina gunaleni,7664120
Chelodina kuchlingi,7664121
Chelodina longicollis,235769
Chelodina mccordi,940288
Chelodina novaeguineae,395836
Chelodina oblonga,235762
Chelodina parkeri,508306
Chelodina pritchardi,340380
Chelodina reimanni,340378
Chelodina rugosa,235762
Chelodina steindachneri,3606122
Chelodina walloyarrina,7664122
Chelonia mydas,559133
Chelonoidis carbonarius,560352
Chelonoidis chilensis,477704
Chelonoidis denticulatus,1050326
Chelonoidis niger,284917
Chelus fimbriata,235773
Chelydra acutirostris,7663893
Chelydra rossignonii,420313
Chelydra serpentina,587311
Chersina angulata,752334
Chersobius boulengeri,777392
Chersobius signatus,777390
Chersobius solus,464473
Chitra chitra,402510
Chitra indica,402511
Chitra vandijki,101476
Chrysemys dorsalis,680552
Chrysemys picta,587300
Claudius angustatus,469679
Clemmys guttata,436621
Cuora amboinensis,626958
Cuora aurocapitata,905071
Cuora bourreti,377074
Cuora cyclornata,26430
Cuora flavomarginata,85384
Cuora galbinifrons,85387
Cuora mccordi,6859
Cuora mouhotii,354928
Cuora pani,26431
Cuora picturata,377078
Cuora trifasciata,26430
Cuora yunnanensis,26440
Cuora zhoui,711704
Cyclanorbis elegans,101463
Cyclanorbis senegalensis,101464
Cyclemys atripons,879761
Cyclemys dentata,54221
Cyclemys enigmatica,6156010
Cyclemys fusca,537636
Cyclemys gemeli,33171
Cyclemys oldhamii,94176
Cyclemys pulchristriata,615604
Cycloderma aubryi,101465
Cycloderma frenatum,101466
Cylindraspis indica,302060
Cylindraspis inepta,302061
Cylindraspis peltastes,302063
Cylindraspis triserrata,302062
Cylindraspis vosmaeri,302069
Deirochelys reticularia,848781
Dermatemys mawii,98390
Dermochelys coriacea,243403
Dogania subplana,828072
Elseya albagula,420318
Elseya branderhorsti,477963
Elseya dentata,235771
Elseya flaviventralis,6156382
Elseya irwini,952550
Elseya lavarackorum,952549
Elseya novaeguineae,469659
Elseya rhodini,7664125
Elseya schultzei,7068943
Elusor macrurus,557461
Emydura macquarii,2572
Emydura subglobosa,198154
Emydura tanybaraga,136733
Emydura victoriae,2982
Emys blandingii,1013355
Emys marmorata,743507
Emys orbicularis,733093
Emys pallida,5553928
Emys trinacris,592138
Eretmochelys imbricata,430337
Erymnochelys madagascariensis,775068
Geochelone elegans,302068
Geochelone platynota,464474
Geoclemys hamiltonii,879770
Geoemyda japonica,85379
Geoemyda spengleri,105478
Glyptemys insculpta,743503
Glyptemys muhlenbergii,743501
Gopherus agassizii,831059
Gopherus berlandieri,1041231
Gopherus evgoodei,5925808
Gopherus flavomarginatus,1041230
Gopherus morafkai,5835349
Gopherus polyphemus,831062
Graptemys barbouri,905270
Graptemys caglei,515020
Graptemys ernsti,515021
Graptemys flavimaculata,835313
Graptemys geographica,1064023
Graptemys gibbonsi,515023
Graptemys nigrinoda,905287
Graptemys oculifera,905289
Graptemys ouachitensis,480212
Graptemys pearlensis,6155978
Graptemys pseudogeographica,1092200
Graptemys pulchra,480185
Graptemys sabinensis,927372
Graptemys versa,922328
Hardella thurjii,711706
Heosemys annandalii,354932
Heosemys depressa,354945
Heosemys grandis,54216
Heosemys spinosa,619859
Homopus areolatus,265491
Homopus femoralis,777385
Hydromedusa maximiliani,1086675
Hydromedusa tectifera,357173
Indotestudo elongata,679459
Indotestudo forstenii,829107
Indotestudo travancorica,879768
Kinixys belliana,1041239
Kinixys erosa,410009
Kinixys homeana,1041243
Kinixys lobatsiana,3606318
Kinixys natalensis,990947
Kinixys nogueyi,5551700
Kinixys spekii,990946
Kinixys zombensis,5553931
Kinosternon abaxillare,969338
Kinosternon acutum,592296
Kinosternon alamosae,592293
Kinosternon angustipons,592291
Kinosternon baurii,487669
Kinosternon chimalhuaca,270867
Kinosternon creaseri,270865
Kinosternon dunni,592287
Kinosternon durangoense,487668
Kinosternon flavescens,487667
Kinosternon herrerai,1053479
Kinosternon hirtipes,487665
Kinosternon integrum,944915
Kinosternon leucostomum,608602
Kinosternon oaxacae,3606159
Kinosternon scorpioides,969338
Kinosternon sonoriense,944913
Kinosternon steindachneri,487664
Kinosternon stejnegeri,487671
Kinosternon subrubrum,487664
Lepidochelys kempii,587328
Lepidochelys olivacea,430320
Leucocephalon yuwonoi,782430
Lissemys ceylonensis,5925809
Lissemys punctata,619852
Lissemys scutata,101468
Macrochelys suwanniensis,1084896
Macrochelys temminckii,1084896
Malaclemys terrapin,1064070
Malacochersus tornieri,1041246
Malayemys khoratensis,5925806
Malayemys macrocephala,935350
Malayemys subtrijuga,679463
Manouria emys,829105
Manouria impressa,679465
Mauremys annamensis,85372
Mauremys caspica,552142
Mauremys japonica,26434
Mauremys leprosa,26437
Mauremys mutica,679467
Mauremys nigricans,591393
Mauremys reevesii,829098
Mauremys rivulata,1078568
Mauremys sinensis,879764
Melanochelys tricarinata,469686
Melanochelys trijuga,105484
Mesoclemmys dahli,904196
Mesoclemmys gibba,701152
Mesoclemmys hogei,620267
Mesoclemmys nasuta,508309
Mesoclemmys perplexa,620267
Mesoclemmys raniceps,944923
Mesoclemmys tuberculata,944918
Mesoclemmys vanderhaegei,944935
Mesoclemmys zuliae,904202
Morenia ocellata,679473
Morenia petersi,872526
Myuchelys bellii,469690
Myuchelys georgesi,562290
Myuchelys latisternum,562326
Myuchelys purvisi,93442
Natator depressus,895624
Nilssonia formosa,623211
Nilssonia gangetica,419102
Nilssonia hurum,419107
Nilssonia leithii,854440
Nilssonia nigricans,861371
Notochelys platynota,711698
Orlitia borneensis,105476
Palea steindachneri,3697
Pangshura smithii,61733
Pangshura sylhetensis,748759
Pangshura tecta,437360
Pangshura tentoria,115586
Pelochelys bibroni,895649
Pelochelys cantorii,402522
Pelochelys signifera,3606174
Pelodiscus axenaria,30435
Pelodiscus maackii,504669
Pelodiscus parviformis,249532
Pelodiscus sinensis,143391
Pelodiscus variegatus,333930
Pelomedusa barbata,5819775
Pelomedusa galeata,5819771
Pelomedusa gehafie,5819769
Pelomedusa kobe,5819772
Pelomedusa neumanni,5819774
Pelomedusa olivacea,5819767
Pelomedusa schweinfurthi,5819770
Pelomedusa somalica,5819768
Pelomedusa subrufa,775044
Pelomedusa variabilis,5819776
Peltocephalus dumerilianus,540332
Pelusios adansonii,10573
Pelusios bechuanicus,10581
Pelusios broadleyi,419111
Pelusios carinatus,419093
Pelusios castaneus,394412
Pelusios castanoides,419097
Pelusios chapini,419100
Pelusios cupulatta,419117
Pelusios gabonensis,471348
Pelusios marani,419119
Pelusios nanus,10583
Pelusios niger,996190
Pelusios rhodesianus,996193
Pelusios sinuatus,235190
Pelusios subniger,486678
Pelusios upembae,10577
Pelusios williamsi,149795
Phrynops geoffroanus,460709
Phrynops hilarii,66457
Phrynops tuberosus,3606124
Phrynops williamsi,477949
Platemys platycephala,709464
Platysternon megacephalum,619860
Podocnemis erythrocephala,674543
Podocnemis expansa,709468
Podocnemis lewyana,211855
Podocnemis sextuberculata,674547
Podocnemis unifilis,528625
Podocnemis vogli,674544
Psammobates geometricus,464467
Psammobates oculifer,990954
Psammobates tentorius,464470
Pseudemydura umbrina,507380
Pseudemys alabamensis,848502
Pseudemys concinna,1003485
Pseudemys floridana,448198
Pseudemys gorzugi,848504
Pseudemys nelsoni,526264
Pseudemys peninsularis,351865
Pseudemys rubriventris,351864
Pseudemys texana,981321
Pyxis arachnoides,859764
Pyxis planicauda,859765
Rafetus euphraticus,623208
Rafetus swinhoei,306732
Rheodytes leukops,1013512
Rhinemys rufipes,996174
Rhinoclemmys annulata,727059
Rhinoclemmys areolata,727052
Rhinoclemmys diademata,727051
Rhinoclemmys funerea,727054
Rhinoclemmys melanosterna,203557
Rhinoclemmys nasuta,737459
Rhinoclemmys pulcherrima,203569
Rhinoclemmys punctularia,203555
Rhinoclemmys rubida,727058
Sacalia bealei,137549
Sacalia quadriocellata,105481
Siebenrockiella crassicollis,54218
Siebenrockiella leytensis,319837
Staurotypus salvinii,996207
Staurotypus triporcatus,149793
Sternotherus carinatus,106549
Sternotherus depressus,996209
Sternotherus intermedius,779904
Sternotherus minor,828705
Sternotherus odoratus,487672
Sternotherus peltifer,5223443
Stigmochelys pardalis,776504
Terrapene carolina,848786
Terrapene coahuila,444150
Terrapene mexicana,4948075
Terrapene nelsoni,848784
Terrapene ornata,1013359
Terrapene triunguis,256160
Terrapene yucatana,848786
Testudo graeca,207423
Testudo hermanni,207422
Testudo horsfieldii,809861
Testudo kleinmanni,344624
Testudo marginata,344622
Trachemys adiutrix,608022
Trachemys callirostris,735232
Trachemys decorata,608023
Trachemys decussata,608019
Trachemys dorbigni,735232
Trachemys gaigeae,608020
Trachemys grayi,34947
Trachemys nebulosa,927365
Trachemys ornata,996201
Trachemys scripta,725741
Trachemys stejnegeri,608016
Trachemys taylori,455436
Trachemys terrapen,608017
Trachemys venusta,996196
Trachemys yaquia,455430
Trionyx triunguis,598954
Vijayachelys silvatica,1069292
