Clade,Species richness,Dated nodes,"Date 
coverage",Date source trees,Phylogenetic coverage
All Life,"2,294,775","76,953",3.4%,334,6.8%
Eukaryota,"2,215,634","76,915",3.5%,333,6.9%
 Metazoa,"1,475,149","41,196",2.8%,285,5.7%
     Chordata,"82,903","29,735",35.9%,225,47.4%
         Actinopteri,"37,408","11,182",29.9%,31,36.9%
         Squamata,"11,221","4,113",36.7%,16,40.9%
         Aves,"10,931","8,762",80.2%,129,93.4%
         Amphibia,"9,835","1,937",19.7%,7,57.3%
         Mammalia,"7,964","2,993",37.6%,49,50.1%
         Chondrichthyes,"1,653",536,32.4%,6,39.1%
         Testudines,326,171,52.6%,5,96.8%
     Arthropoda,"1,183,222","10,532",0.9%,57,3.3%
        Pancrustacea,"1,068,467","10,287",1.0%,54,3.6%
           Insecta,"984,720","9,615",1.0%,48,3.6%
               Coleoptera,"286,855",658,0.2%,10,2.8%
               Lepidoptera,"182,577","2,208",1.2%,9,3.5%
               Diptera,"166,902",237,0.1%,4,2.2%
               Hymenoptera,"142,384","5,832",4.1%,16,6.8%
               Hemiptera,"103,698",255,0.2%,6,2.3%
               Odonata,"6,314",104,1.6%,5,18.6%
           Malacostraca,"48,796",589,1.2%,6,3.2%
           Copepoda,"15,764",0,0.0%,0,4.0%
           Branchiopoda,"2,468",25,1.0%,3,1.9%
        Chelicerata,"96,446",209,0.2%,4,0.8%
        Myriapoda,"18,309",34,0.2%,2,0.2%
     Mollusca,"88,048",213,0.2%,13,1.1%
     Platyhelminthes,"25,209",20,0.1%,1,1.0%
     Annelida,"22,978",13,0.1%,10,2.1%
     Nematoda,"19,802",95,0.5%,3,2.0%
     Cnidaria,"15,435",190,1.2%,11,14.1%
     Porifera,"10,134",38,0.4%,3,7.8%
     Echinodermata,"8,715",47,0.5%,11,3.1%
     Bryozoa,"7,299",287,3.9%,1,5.0%
     Tardigrada,"1,473",3,0.2%,1,0.6%
 Chloroplastida,"426,729","35,203",8.2%,48,15.1%
     Tracheophyta,"390,260","34,814",8.9%,46,16.1%
         Magnoliopsida,"373,449","30,700",8.2%,41,15.5%
         Polypodiopsida,"13,239","3,619",27.3%,6,29.7%
     Bryophyta,"16,977",204,1.2%,3,5.3%
     Marchantiophyta,"9,587",151,1.6%,4,3.4%
     Chlorophyta,"6,869",23,0.3%,1,2.4%
 Rhodophyta,"9,274",8,0.1%,1,1.6%
 Fungi,"247,150",396,0.2%,4,1.4%
     Ascomycota,"163,301",187,0.1%,3,1.2%
     Basidiomycota,"78,410",201,0.3%,2,1.8%
     Microsporidia,"1,466",0,0.0%,0,0.8%
 SAR,"51,095",76,0.1%,2,1.6%
     Stramenopiles,"20,088",46,0.2%,2,2.5%
     Alveolata,"14,857",18,0.1%,2,1.7%
     Rhizaria,"16,150",10,0.1%,2,0.3%
Archaea,"1,507",6,0.4%,1,8.8%
Bacteria,"77,634",31,0.0%,2,3.9%